input,output,data,process
0.0,0.0,0.0,0.0
0.5,0.0,0.479425539,-2.04444620878982e-127
1.0,0.14432146792637185,0.841470985,1.0120008733509608e-125
1.5,0.16347980855931618,0.997494987,-2.0580897275435854e-124
2.0,-0.09740379469832638,0.909297427,-1.406846557659919e-122
2.5,-1.229851826676955,0.598472144,2.2013328788428932e-120
3.0,-3.7244630784611674,0.141120008,-1.9147387098150657e-118
3.5,5.849159736614299,-0.350783228,1.3657222308039968e-116
4.0,169.9273341549953,-0.756802495,-8.747422520259475e-115
4.5,1551.9109522904987,-0.977530118,5.22002295584854e-113
5.0,10689.536042077612,-0.958924275,-2.957511775524007e-111
5.5,59739.63686923662,-0.705540326,1.6084811913992694e-109
6.0,234755.14138427668,-0.279415498,-8.456116957995836e-108
6.5,-113022.79160973988,0.215119988,4.3174975984437484e-106
7.0,-15888143.913475987,0.656986599,-2.148000572313582e-104
7.5,-229015562.13206935,0.937999977,1.0438072388200134e-102
8.0,-2390293006.7598133,0.989358247,-4.963248814797656e-101
8.5,-20180665205.039886,0.798487113,2.312386924819949e-99
9.0,-127068808806.19519,0.412118485,-1.0567120893557536e-97
9.5,-233627619142.4956,-0.07515112,4.740306220176407e-96
10.0,9953100829378.135,-0.544021111,-2.0887404633514204e-94
10.5,227709344274820.56,-0.87969576,9.044944514339824e-93
11.0,3396740177626282.0,-0.999990207,-3.850688275171933e-91
11.5,4.023979821018503e+16,-0.875452175,1.612172554624378e-89
12.0,3.6766841758775846e+17,-0.536572918,-6.639327123199141e-88
12.5,1.7075857827251886e+18,-0.066321897,2.6899798722802868e-86
13.0,-2.6400416421810258e+19,0.420167037,-1.0723534669815254e-84
13.5,-1.001804696439613e+21,0.803784427,4.20653165011341e-83
14.0,-2.04415211504263e+22,0.990607356,-1.6237727922954569e-81
14.5,-3.2188792245832004e+23,0.934895056,6.168012587361948e-80
15.0,-3.9803478553711846e+24,0.65028784,-2.3055584125040805e-78
15.5,-3.092460164477375e+25,0.206467482,8.480065561356896e-77
16.0,1.781021066958936e+26,-0.287903317,-3.0689243917210653e-75
16.5,1.4380440290413432e+28,-0.711785342,1.0926976452846209e-73
17.0,3.939995528129422e+29,-0.961397492,-3.8273267681805307e-72
17.5,7.963589528292115e+30,-0.975626005,1.3186215584682637e-70
18.0,1.2716442451823828e+32,-0.750987247,-4.4680108089109326e-69
18.5,1.419238818652079e+33,-0.342480618,1.4887140654581347e-67
19.0,7.936134863868057e+32,0.14987721,-4.876840952628074e-66
19.5,-5.402152315742916e+35,0.60553987,1.5704245811425583e-64
20.0,-2.001456857097523e+37,0.912945251,-4.970060299160135e-63
20.5,-5.0823274200702204e+38,0.996829794,1.5455434440601426e-61
21.0,-1.0147665253472885e+40,0.836655639,-4.7214862469146665e-60
21.5,-1.5025960389204729e+41,0.471639003,1.4166130040182547e-58
22.0,-8.624781793252548e+41,-0.008851309,-4.173397610948398e-57
22.5,4.4266041126705064e+43,-0.487174512,1.2069224414663463e-55
23.0,2.3204157855909715e+45,-0.846220404,-3.425302157630101e-54
